DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1961-0009-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Central, West India",,,No,No,No,,,Km2,,,,1961,9,6,1961,9,6,,,,2000,2000,,,,,,,9.810138546,,01-07-2003,25-09-2023
1961-0012-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Uttar Pradesh,,,No,No,No,,,Km2,,,,1961,10,9,1961,10,9,57,,,,,,,,,,,9.810138546,,01-07-2003,25-09-2023
1961-0050-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1961,10,,1961,10,,1000,,,,,,,,,,,9.810138546,,01-07-2003,25-09-2023
1961-0055-IND,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,°C,,,,1961,12,,1961,12,,400,,,,,,,,,,,9.810138546,,01-07-2003,25-09-2023
1962-0007-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,"Punjab, Delhi, M.P.",,,No,No,No,,,Kph,,,,1962,9,16,1962,9,16,,,40000,,40000,,,,,,,9.927744057,,01-07-2003,25-09-2023
1962-0034-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1962,8,,1962,8,,100,,,,,,,,,,,9.927744057,,01-07-2003,25-09-2023
1962-0036-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1962,9,,1962,9,,73,,,,,,,,,,,9.927744057,,01-07-2003,25-09-2023
1963-0019-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,"Orissa, Uttar Pradesh, Punjab",,,No,No,No,,,Kph,,,,1963,9,8,1963,9,8,200,,5000000,,5000000,,,,,,,10.05081019,,01-07-2003,25-09-2023
1963-0064-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1963,4,,1963,4,,112,,,,,,,,,,,10.05081019,,01-07-2003,25-09-2023
1963-0070-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1963,7,,1963,7,,200,,,,,,,,,,,10.05081019,,01-07-2003,25-09-2023
